"Interval","Hour","GMTIntervalEnd","variable","value"
2021-01-06 02:10:00,2,2021-01-06 08:10:00,"wind_pen_actual",NA
2021-01-06 02:05:00,2,2021-01-06 08:05:00,"wind_pen_actual",NA
2021-01-06 02:00:00,2,2021-01-06 08:00:00,"wind_pen_actual",NA
2021-01-06 01:55:00,1,2021-01-06 07:55:00,"wind_pen_actual",NA
2021-01-06 01:50:00,1,2021-01-06 07:50:00,"wind_pen_actual",NA
2021-01-06 01:45:00,1,2021-01-06 07:45:00,"wind_pen_actual",NA
2021-01-06 01:40:00,1,2021-01-06 07:40:00,"wind_pen_actual",NA
2021-01-06 01:35:00,1,2021-01-06 07:35:00,"wind_pen_actual",NA
2021-01-06 01:30:00,1,2021-01-06 07:30:00,"wind_pen_actual",NA
2021-01-06 01:25:00,1,2021-01-06 07:25:00,"wind_pen_actual",NA
2021-01-06 01:20:00,1,2021-01-06 07:20:00,"wind_pen_actual",NA
2021-01-06 01:15:00,1,2021-01-06 07:15:00,"wind_pen_actual",NA
2021-01-06 01:10:00,1,2021-01-06 07:10:00,"wind_pen_actual",NA
2021-01-06 01:05:00,1,2021-01-06 07:05:00,"wind_pen_actual",NA
2021-01-06 01:00:00,1,2021-01-06 07:00:00,"wind_pen_actual",NA
2021-01-06 00:55:00,0,2021-01-06 06:55:00,"wind_pen_actual",NA
2021-01-06 00:50:00,0,2021-01-06 06:50:00,"wind_pen_actual",NA
2021-01-06 00:45:00,0,2021-01-06 06:45:00,"wind_pen_actual",NA
2021-01-06 00:40:00,0,2021-01-06 06:40:00,"wind_pen_actual",NA
2021-01-06 00:35:00,0,2021-01-06 06:35:00,"wind_pen_actual",NA
2021-01-06 00:30:00,0,2021-01-06 06:30:00,"wind_pen_actual",NA
2021-01-06 00:25:00,0,2021-01-06 06:25:00,"wind_pen_actual",NA
2021-01-06 00:20:00,0,2021-01-06 06:20:00,"wind_pen_actual",NA
2021-01-06 00:15:00,0,2021-01-06 06:15:00,"wind_pen_actual",NA
2021-01-06 00:10:00,0,2021-01-06 06:10:00,"wind_pen_actual",NA
2021-01-06 00:05:00,0,2021-01-06 06:05:00,"wind_pen_actual",NA
2021-01-06 00:00:00,0,2021-01-06 06:00:00,"wind_pen_actual",NA
2021-01-05 23:55:00,23,2021-01-06 05:55:00,"wind_pen_actual",NA
2021-01-05 23:50:00,23,2021-01-06 05:50:00,"wind_pen_actual",NA
2021-01-05 23:45:00,23,2021-01-06 05:45:00,"wind_pen_actual",NA
2021-01-05 23:40:00,23,2021-01-06 05:40:00,"wind_pen_actual",NA
2021-01-05 23:35:00,23,2021-01-06 05:35:00,"wind_pen_actual",NA
2021-01-05 23:30:00,23,2021-01-06 05:30:00,"wind_pen_actual",NA
2021-01-05 23:25:00,23,2021-01-06 05:25:00,"wind_pen_actual",NA
2021-01-05 23:20:00,23,2021-01-06 05:20:00,"wind_pen_actual",NA
2021-01-05 23:15:00,23,2021-01-06 05:15:00,"wind_pen_actual",NA
2021-01-05 23:10:00,23,2021-01-06 05:10:00,"wind_pen_actual",NA
2021-01-05 23:05:00,23,2021-01-06 05:05:00,"wind_pen_actual",NA
2021-01-05 23:00:00,23,2021-01-06 05:00:00,"wind_pen_actual",NA
2021-01-05 22:55:00,22,2021-01-06 04:55:00,"wind_pen_actual",NA
2021-01-05 22:50:00,22,2021-01-06 04:50:00,"wind_pen_actual",NA
2021-01-05 22:45:00,22,2021-01-06 04:45:00,"wind_pen_actual",NA
2021-01-05 22:40:00,22,2021-01-06 04:40:00,"wind_pen_actual",NA
2021-01-05 22:35:00,22,2021-01-06 04:35:00,"wind_pen_actual",NA
2021-01-05 22:30:00,22,2021-01-06 04:30:00,"wind_pen_actual",NA
2021-01-05 22:25:00,22,2021-01-06 04:25:00,"wind_pen_actual",NA
2021-01-05 22:20:00,22,2021-01-06 04:20:00,"wind_pen_actual",NA
2021-01-05 22:15:00,22,2021-01-06 04:15:00,"wind_pen_actual",NA
2021-01-05 22:10:00,22,2021-01-06 04:10:00,"wind_pen_actual",NA
2021-01-05 22:05:00,22,2021-01-06 04:05:00,"wind_pen_actual",NA
2021-01-05 22:00:00,22,2021-01-06 04:00:00,"wind_pen_actual",NA
2021-01-05 21:55:00,21,2021-01-06 03:55:00,"wind_pen_actual",NA
2021-01-05 21:50:00,21,2021-01-06 03:50:00,"wind_pen_actual",NA
2021-01-05 21:45:00,21,2021-01-06 03:45:00,"wind_pen_actual",NA
2021-01-05 21:40:00,21,2021-01-06 03:40:00,"wind_pen_actual",NA
2021-01-05 21:35:00,21,2021-01-06 03:35:00,"wind_pen_actual",NA
2021-01-05 21:30:00,21,2021-01-06 03:30:00,"wind_pen_actual",NA
2021-01-05 21:25:00,21,2021-01-06 03:25:00,"wind_pen_actual",NA
2021-01-05 21:20:00,21,2021-01-06 03:20:00,"wind_pen_actual",NA
2021-01-05 21:15:00,21,2021-01-06 03:15:00,"wind_pen_actual",NA
2021-01-05 21:10:00,21,2021-01-06 03:10:00,"wind_pen_actual",NA
2021-01-05 21:05:00,21,2021-01-06 03:05:00,"wind_pen_actual",NA
2021-01-05 21:00:00,21,2021-01-06 03:00:00,"wind_pen_actual",NA
2021-01-05 20:55:00,20,2021-01-06 02:55:00,"wind_pen_actual",NA
2021-01-05 20:50:00,20,2021-01-06 02:50:00,"wind_pen_actual",NA
2021-01-05 20:45:00,20,2021-01-06 02:45:00,"wind_pen_actual",NA
2021-01-05 20:40:00,20,2021-01-06 02:40:00,"wind_pen_actual",NA
2021-01-05 20:35:00,20,2021-01-06 02:35:00,"wind_pen_actual",NA
2021-01-05 20:30:00,20,2021-01-06 02:30:00,"wind_pen_actual",NA
2021-01-05 20:25:00,20,2021-01-06 02:25:00,"wind_pen_actual",NA
2021-01-05 20:20:00,20,2021-01-06 02:20:00,"wind_pen_actual",NA
2021-01-05 20:15:00,20,2021-01-06 02:15:00,"wind_pen_actual",NA
2021-01-05 20:10:00,20,2021-01-06 02:10:00,"wind_pen_actual",NA
2021-01-05 20:05:00,20,2021-01-06 02:05:00,"wind_pen_actual",NA
2021-01-05 20:00:00,20,2021-01-06 02:00:00,"wind_pen_actual",NA
2021-01-05 19:55:00,19,2021-01-06 01:55:00,"wind_pen_actual",NA
2021-01-05 19:50:00,19,2021-01-06 01:50:00,"wind_pen_actual",NA
2021-01-05 19:45:00,19,2021-01-06 01:45:00,"wind_pen_actual",NA
2021-01-05 19:40:00,19,2021-01-06 01:40:00,"wind_pen_actual",NA
2021-01-05 19:35:00,19,2021-01-06 01:35:00,"wind_pen_actual",NA
2021-01-05 19:30:00,19,2021-01-06 01:30:00,"wind_pen_actual",NA
2021-01-05 19:25:00,19,2021-01-06 01:25:00,"wind_pen_actual",NA
