"Interval","Hour","GMTIntervalEnd","variable","value","ModifiedAt"
2020-12-29 23:15:00,23,"12/30/2020 05:15:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 23:10:00,23,"12/30/2020 05:10:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 23:05:00,23,"12/30/2020 05:05:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 23:00:00,23,"12/30/2020 05:00:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 22:55:00,22,"12/30/2020 04:55:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 22:50:00,22,"12/30/2020 04:50:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 22:45:00,22,"12/30/2020 04:45:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 22:40:00,22,"12/30/2020 04:40:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 22:35:00,22,"12/30/2020 04:35:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 22:30:00,22,"12/30/2020 04:30:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 22:25:00,22,"12/30/2020 04:25:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 22:20:00,22,"12/30/2020 04:20:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 22:15:00,22,"12/30/2020 04:15:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 22:10:00,22,"12/30/2020 04:10:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 22:05:00,22,"12/30/2020 04:05:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 22:00:00,22,"12/30/2020 04:00:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 21:55:00,21,"12/30/2020 03:55:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 21:50:00,21,"12/30/2020 03:50:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 21:45:00,21,"12/30/2020 03:45:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 21:40:00,21,"12/30/2020 03:40:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 21:35:00,21,"12/30/2020 03:35:00","wind_pen_actual",NA,2020-12-23 16:41:58
